ID,Row,Column,Selected,Value,image_url,image_url_small,,path,path,path,path,cartella,filename,observed_on,lat,long,scientific_name,common_name,taxon_kingdom_name,minaccia,origin_status,status_invasivita,phylum,classe,ordine
13,0,13,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/28556502.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/44522359/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/44522359/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,28556502.jpg,2019-07-10,45.57312815,12.42027199,Milvus migrans,Nibbio bruno,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Accipitriformes
14,0,14,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/187401467.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/327718090/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/327718090/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,187401467.jpg,2023-10-13,45.6427511,12.29821604,Phalacrocorax carbo,Cormorano,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Suliformes
15,0,15,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/191369097.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/335701174/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/335701174/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,191369097.jpg,2023-11-18,45.6475089,12.2935798,Phalacrocorax carbo,Cormorano,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Suliformes
16,0,16,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/148769978.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/256252591/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/256252591/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,148769978.jpg,2023-02-13,45.54166854,12.43469291,Milvus milvus,Nibbio reale,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Accipitriformes
17,0,17,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/101957501.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/170343034/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/170343034/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,101957501.jpg,2012-05-01,45.6162833,12.3388892,Falco peregrinus,Falco pellegrino,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Falconiformes
18,0,18,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/248331597.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/443687899/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/443687899/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,248331597.jpg,2024-10-20,45.61555737,12.33760295,Grus grus,Gru,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Gruiformes
19,0,19,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/142442511.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/244204889/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/244204889/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,142442511.jpg,2022-11-20,45.64373008,12.22077854,Grus grus,Gru,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Gruiformes
20,1,0,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/96261585.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/159896061/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/159896061/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,96261585.jpg,2013-04-06,45.64105287,12.15894921,Hydroprogne caspia,Sterna maggiore,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Charadriiformes
21,1,1,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/25103202.jpg,https://static.inaturalist.org/photos/38852158/medium.jpg,https://static.inaturalist.org/photos/38852158/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,25103202.jpg,2019-05-14,45.64425483,12.16180492,Buteo buteo,Poiana,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Accipitriformes
22,1,2,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/220438060.jpg,https://static.inaturalist.org/photos/390285757/medium.jpeg,https://static.inaturalist.org/photos/390285757/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,220438060.jpg,2024-06-01,45.68025394,12.1273395,Falco tinnunculus,Gheppio,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Falconiformes
23,1,3,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/266238016.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/478335553/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/478335553/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,266238016.jpg,2025-03-21,45.64346859,12.21915005,Anas platyrhynchos,Germano reale,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Anseriformes
24,1,4,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/21422686.jpg,https://static.inaturalist.org/photos/33143368/medium.jpeg,https://static.inaturalist.org/photos/33143368/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,21422686.jpg,2019-03-18,45.64839885,12.29173341,Delichon urbicum,Balestruccio,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Passeriformes
25,1,5,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/223997853.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/396949159/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/396949159/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,223997853.jpg,2024-06-20,45.64370461,12.22080098,Hirundo rustica,Rondine,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Passeriformes
26,1,6,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/23421459.jpg,https://static.inaturalist.org/photos/36271518/medium.jpeg,https://static.inaturalist.org/photos/36271518/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,23421459.jpg,2019-04-26,45.64419483,12.16086078,Riparia riparia,Topino,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Passeriformes
27,1,7,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/150307687.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/259152599/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/259152599/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,150307687.jpg,2023-03-05,45.64329341,12.22002689,Ardea cinerea,Airone cenerino,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Pelecaniformes
28,1,8,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/104820328.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175726003/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/175726003/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,104820328.jpg,2022-01-12,45.64261,12.182115,Phalacrocorax carbo,Cormorano,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Suliformes
29,1,9,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/141159581.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/241759504/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/241759504/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,141159581.jpg,2022-11-05,45.64372276,12.21903992,Corvus cornix,Cornacchia grigia,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Passeriformes
30,1,10,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/199691543.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/352201032/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/352201032/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,199691543.jpg,2024-02-18,45.61585317,12.33747512,Buteo buteo,Poiana,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Accipitriformes
31,1,11,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/150069496.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/258695303/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/258695303/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,150069496.jpg,2012-12-06,45.64167653,12.13026455,Accipiter nisus,Sparviero,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Accipitriformes
